t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1607902317,19,0.183363,0.111762,0.001877,0.075326,0.183363,0.183363,0.183363,0.183363,0.183363,0.183363,0.063328,0.021371,0.322486,0.589216,calls/second,milliseconds
1607902617,49,0.183363,0.022322,0.001534,0.021517,0.013401,0.033432,0.060553,0.065597,0.065597,0.133429,0.081664,0.286270,0.203818,0.453651,calls/second,milliseconds
1607902917,73,0.183363,0.051465,0.001278,0.035990,0.074414,0.074414,0.100096,0.100096,0.100096,0.100096,0.081109,0.021795,0.113312,0.345823,calls/second,milliseconds
1607903217,78,0.183363,0.076733,0.001278,0.021081,0.065998,0.073545,0.112874,0.112874,0.112874,0.112874,0.064999,0.014169,0.051943,0.252478,calls/second,milliseconds
1607903311,84,0.183363,0.036144,0.001278,0.039483,0.014449,0.065998,0.115197,0.115197,0.115197,0.115197,0.064903,0.023286,0.044393,0.230584,calls/second,milliseconds
1607903311,84,0.183363,0.036144,0.001278,0.039483,0.014449,0.065998,0.115197,0.115197,0.115197,0.115197,0.064902,0.023286,0.044393,0.230584,calls/second,milliseconds
