t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1608108392,19,0.058538,0.005405,0.000110,0.006255,0.005681,0.005681,0.009027,0.015890,0.058538,0.058538,0.063327,0.018306,0.322050,0.589152,calls/second,milliseconds
1608108692,72,0.058538,0.006449,0.000110,0.010221,0.001798,0.006754,0.031257,0.042149,0.051270,0.051270,0.119994,0.133912,0.234716,0.473220,calls/second,milliseconds
1608108992,77,0.058538,0.009815,0.000110,0.009034,0.004700,0.017270,0.031097,0.031097,0.031097,0.051270,0.085553,0.011822,0.096105,0.343684,calls/second,milliseconds
1608109038,82,0.287870,0.063537,0.000110,0.112644,0.004477,0.014424,0.287870,0.287870,0.287870,0.287870,0.086723,0.014508,0.085660,0.327988,calls/second,milliseconds
1608109038,82,0.287870,0.063537,0.000110,0.112644,0.004477,0.014424,0.287870,0.287870,0.287870,0.287870,0.086722,0.014508,0.085660,0.327988,calls/second,milliseconds
