t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1610406764,19,1.742823,0.077845,0.002537,0.257849,0.012184,0.012184,0.562376,1.158875,1.742823,1.742823,0.063335,0.022024,0.327755,0.592477,calls/second,milliseconds
1610407042,71,2.082629,0.381446,0.001170,0.448748,0.111243,0.681262,1.161081,1.161081,1.477207,2.082629,0.122699,0.046717,0.213167,0.477035,calls/second,milliseconds
1610407042,71,2.082629,0.381446,0.001170,0.448748,0.111243,0.681262,1.161081,1.161081,1.477207,2.082629,0.122698,0.046717,0.213167,0.477035,calls/second,milliseconds
