t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1617672734,32,4.708822,0.451342,0.001183,0.646092,0.238133,0.648295,2.559760,2.559760,2.559760,2.559760,0.106672,0.243343,1.193304,2.191944,calls/second,milliseconds
1617672894,68,4.708822,0.431058,0.000815,0.503984,0.160276,0.707419,1.356165,1.637287,1.637287,2.559760,0.147680,0.089923,0.759692,1.855833,calls/second,milliseconds
1617672894,68,4.708822,0.431058,0.000815,0.503984,0.160276,0.707419,1.356165,1.637287,1.637287,2.559760,0.147678,0.089923,0.759692,1.855833,calls/second,milliseconds
