t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1614387488,32,4.541896,0.361233,0.018110,0.384303,0.257073,0.387250,1.198567,1.198567,1.198567,1.307044,0.106402,0.205770,1.171923,2.179574,calls/second,milliseconds
1614387787,67,4.541896,0.560496,0.018110,0.444372,0.320174,0.982198,1.390961,1.597217,1.597217,1.597217,0.111641,0.018211,0.482643,1.591249,calls/second,milliseconds
1614388087,75,4.541896,0.482399,0.018110,0.384011,0.300022,0.415279,1.406104,1.406104,1.630910,1.630910,0.083320,0.015666,0.193581,1.147638,calls/second,milliseconds
1614388387,80,4.541896,0.357339,0.018110,0.100648,0.342636,0.342636,0.484319,0.484319,0.904945,1.406104,0.066659,0.010153,0.080811,0.826900,calls/second,milliseconds
1614388687,85,4.541896,0.328247,0.018110,0.037471,0.311576,0.380762,0.380762,0.384299,0.384299,0.484319,0.056661,0.010115,0.039325,0.597081,calls/second,milliseconds
1614388987,90,4.541896,0.242824,0.018110,0.029343,0.236547,0.274242,0.284119,0.284119,0.292076,0.380762,0.049996,0.010115,0.024064,0.432409,calls/second,milliseconds
1614389287,95,4.541896,0.289951,0.018110,0.018976,0.296873,0.296873,0.324273,0.324273,0.324273,0.324273,0.045235,0.010115,0.018449,0.314416,calls/second,milliseconds
1614389587,100,4.541896,0.318773,0.018110,0.019060,0.307509,0.346099,0.346099,0.350383,0.350383,0.350383,0.041664,0.010115,0.016384,0.229870,calls/second,milliseconds
1614389793,105,4.541896,0.351392,0.018110,0.239444,0.322763,0.345509,0.938316,0.938316,0.938316,0.938316,0.040299,0.018127,0.017667,0.186979,calls/second,milliseconds
1614389793,105,4.541896,0.351392,0.018110,0.239444,0.322763,0.345509,0.938316,0.938316,0.938316,0.938316,0.040299,0.018127,0.017667,0.186979,calls/second,milliseconds
