t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1617638718,32,4.135337,0.248966,0.016180,0.293654,0.189348,0.315247,0.942528,0.942528,0.942528,1.258361,0.106623,0.218142,1.172597,2.179656,calls/second,milliseconds
1617638988,71,4.135337,0.513179,0.016180,0.652559,0.313172,0.358250,1.533887,1.533887,3.382364,3.382364,0.124542,0.081801,0.545286,1.648868,calls/second,milliseconds
1617638988,71,4.135337,0.513179,0.016180,0.652559,0.313172,0.358250,1.533887,1.533887,3.382364,3.382364,0.124541,0.081801,0.545286,1.648868,calls/second,milliseconds
