t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1617620765,5,34.673206,6.959387,0.005243,13.856924,0.032472,0.065437,34.673206,34.673206,34.673206,34.673206,0.016665,0.007324,0.374062,0.720523,calls/second,milliseconds
1617621065,27,34.673206,1.489921,0.005243,2.665388,0.246586,0.867694,7.872410,7.872410,10.630358,10.630358,0.044998,0.034418,0.181941,0.536909,calls/second,milliseconds
1617621170,28,34.673206,1.440532,0.005243,1.589738,1.413284,1.413284,5.403840,7.872410,7.872410,10.630358,0.039723,0.006501,0.130366,0.480448,calls/second,milliseconds
1617621170,28,34.673206,1.440532,0.005243,1.589738,1.413284,1.413284,5.403840,7.872410,7.872410,10.630358,0.039722,0.006501,0.130366,0.480448,calls/second,milliseconds
