t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1609993096,72,0.219328,0.009268,0.000233,0.018895,0.008413,0.011960,0.018627,0.022732,0.025470,0.219328,0.239979,0.098034,4.360485,8.369953,calls/second,milliseconds
1609993396,77,0.219328,0.010453,0.000233,0.003229,0.010426,0.010426,0.010426,0.018000,0.018000,0.018627,0.128328,0.012530,1.614055,6.001966,calls/second,milliseconds
1609993560,81,0.219328,0.013630,0.000233,0.004974,0.010426,0.018613,0.018613,0.018613,0.018613,0.018613,0.105941,0.016717,0.954449,5.027445,calls/second,milliseconds
1609993560,81,0.219328,0.013630,0.000233,0.004974,0.010426,0.018613,0.018613,0.018613,0.018613,0.018613,0.105940,0.016717,0.954449,5.027445,calls/second,milliseconds
