,dataset,edges,types,bytes,degree,schemex-summarization-ratio,schemexVHI,schemex-compression,instances,schemexschema-computation,schemexupdate,schemexincremental,schemexbatch,schemexspeed-up,schemex:changes,schemex:updates,schemex:change-update-ratio,schemex:change-size-ratio,schemex:update-size-ratio,attribute-summarization-ratio,attributeVHI,attribute-compression,attributeschema-computation,attributeupdate,attributeincremental,attributebatch,attributespeed-up,attribute:changes,attribute:updates,attribute:change-update-ratio,attribute:change-size-ratio,attribute:update-size-ratio,type-summarization-ratio,typeVHI,type-compression,typeschema-computation,typeupdate,typeincremental,typebatch,typespeed-up,type:changes,type:updates,type:change-update-ratio,type:change-size-ratio,type:update-size-ratio
26,DyLDO-core,8232402,0,137244010,3.491690062260348,19.583258869908015,79691043.0,0.580652248502503,1490286.0,45606.0,226598.0,1074017.0,2961894.0,2.757771990573706,237065.0,666.0,355.41979010494754,0.15907349327578732,0.008751642575558476,117.57994950557543,76412502.0,0.5567638398207688,44325.0,206843.0,1036524.0,3149282.0,3.0383107385839594,303935.0,425.0,713.462441314554,0.20394407516409602,0.02235430254576057,381.798462852263,73942037.0,0.5387633092329494,44504.0,140613.0,976045.0,5899362.0,6.044149603758023,351207.0,107.0,3251.9166666666665,0.23566416110733107,0.018274978650725877
27,DyLDO-core,7557658,0,127576733,3.354356717697593,19.837711057092175,80153724.5,0.6282785474683695,1509749.0,49960.0,222218.0,1082538.0,3057935.0,2.8247830561144274,21087.0,306.0,68.68729641693811,0.013967222366101916,0.004020760791012417,118.82176399601238,76781901.0,0.6018487791186815,49627.0,197345.0,1041951.0,3166084.0,3.038611220681203,31190.0,253.0,122.79527559055119,0.020659063195272855,0.013274568445353902,387.5789833989389,74765478.0,0.5860432089917211,47969.0,153768.0,999125.0,6046697.0,6.051992493431753,29763.0,112.0,263.3893805309734,0.019713872968288106,0.019168235495464658
28,DyLDO-core,7634385,0,130808794,3.320260954797112,19.900643635885984,80673389.5,0.6167275687902145,1515036.0,48240.0,223692.0,1076698.0,2885835.0,2.680264103769116,6262.0,211.0,29.537735849056602,0.004133235117845384,0.0027715749376067255,119.01309243257397,77438184.0,0.5919952446010626,44407.0,209019.0,1082166.0,3014363.0,2.785490396112981,9163.0,162.0,56.214723926380366,0.0060480411026536665,0.008483896307934015,388.6702582520951,75510813.0,0.5772609829274934,46655.0,156793.0,1022449.0,5958863.0,5.828029564310787,8452.0,34.0,241.4857142857143,0.005578745323543467,0.005814947836497349
29,DyLDO-core,7705004,0,131754170,3.3572959890159617,19.74974669386144,80437969.0,0.6105155457318733,1500882.0,47476.0,244848.0,1111013.0,2944638.0,2.6504082310468013,15410.0,488.0,31.51329243353783,0.010267296163189377,0.006421475097045859,118.57186496023596,76973712.0,0.584222207160502,48471.0,235239.0,1099712.0,3039970.0,2.7643328435081185,22394.0,388.0,57.56812339331619,0.014920560044027446,0.02043503449728762,388.8968733805493,74506165.0,0.5654937904432171,44806.0,149007.0,1016952.0,6099060.0,5.99739220730182,21795.0,114.0,189.52173913043478,0.014521461380708143,0.01969252029711522
30,DyLDO-core,7685968,0,131086741,3.396206777282082,19.270716040536392,82896819.5,0.6323814206350588,1506045.0,48330.0,476026.0,1326212.0,3320485.0,2.5037362050712857,9131.0,2641.0,3.456093868281605,0.006062899846950125,0.033793121097348756,104.05656379548596,79611771.0,0.6073213079574539,41568.0,558138.0,1389024.0,3548170.0,2.5544339046697537,9381.0,2961.0,3.1671168129642133,0.006228897542902105,0.13638876093965915,387.6231983527797,75474075.0,0.5757567426289132,44469.0,148720.0,1011602.0,6305043.0,6.232730856601707,9227.0,97.0,94.15306122448979,0.006126642962195685,0.016643788606726148
31,DyLDO-core,7651402,0,131392938,3.30365690403716,19.784214430036574,82963473.0,0.6314150080120744,1547086.0,49255.0,231863.0,1107566.0,3152972.0,2.846757665005968,44536.0,354.0,125.45352112676056,0.028787022828724453,0.004526969999232717,106.77417870617465,79777246.0,0.6071654018422208,48074.0,222556.0,1094166.0,3571231.0,3.2638840907138404,62944.0,146.0,428.1904761904762,0.04068552103761523,0.0067175853501426335,397.23211229031153,76951766.0,0.5856613541893705,43986.0,151029.0,1047982.0,6586562.0,6.2849953529736196,62996.0,32.0,1908.969696969697,0.04071913261447651,0.005477576172543649
32,DyLDO-core,7844492,0,132910826,3.3256039059399463,19.711388874673762,82967888.5,0.6242372498685698,1540721.0,50072.0,223983.0,1106734.0,3278393.0,2.9622230816076853,7287.0,190.0,38.15183246073298,0.0047296038672803185,0.0024307865513535643,106.4230060784675,79554143.0,0.5985527695087833,44342.0,201666.0,1068335.0,3381757.0,3.1654462317531484,10725.0,156.0,68.31210191082802,0.006961026688154442,0.007183643396573955,395.7332191780822,76826641.0,0.5780314765329951,45487.0,149557.0,1014553.0,6670224.0,6.574544651684042,10146.0,32.0,307.45454545454544,0.006585228604010719,0.005479452054794521
33,DyLDO-core,7805611,0,132306796,3.3281888709366925,19.650802413154054,79884323.0,0.6037809501486228,1495092.0,44587.0,229107.0,1083017.0,3017088.0,2.78581776648012,46745.0,2299.0,20.32391304347826,0.03126563448938259,0.030216999855421055,117.76710602321063,76384584.0,0.5773292552560944,43759.0,203248.0,1045103.0,3004215.0,2.874563559763966,69750.0,2853.0,24.439383321653818,0.04665264746249729,0.14981883106653363,385.5981774415406,74383574.0,0.5622052400089864,43764.0,143222.0,1014141.0,5953857.0,5.87083748709499,69004.0,40.0,1683.0243902439024,0.04615368151257582,0.0068775790921595595
34,DyLDO-core,7581319,0,130176175,3.346524683565576,19.676081327953526,79818253.5,0.613155621602801,1497094.0,45974.0,222933.0,1067967.0,2908429.0,2.723332275248205,3682.0,234.0,15.668085106382978,0.002459431405108831,0.0030754268140418205,118.00535995796112,76665900.0,0.5889395659382372,43806.0,196676.0,1038829.0,3160817.0,3.0426730482110145,4419.0,181.0,24.28021978021978,0.0029517184625681486,0.009511297950604309,385.45176793683487,74260543.0,0.5704618606284906,41523.0,139223.0,997160.0,5808438.0,5.824980945886317,3617.0,28.0,124.72413793103448,0.0024160139577073985,0.004806041881222108
35,DyLDO-core,7573494,0,129391181,3.3267381932003524,19.828299305409388,80281282.0,0.6204540477917115,1507268.0,46591.0,219135.0,1080860.0,3047256.0,2.8192883444664436,11512.0,234.0,48.98723404255319,0.007637659659728728,0.0030782993054093875,118.88852079718147,77076405.0,0.5956851495157155,45686.0,212273.0,1048957.0,3150595.0,3.003550193191904,16385.0,169.0,96.38235294117646,0.010870661355512092,0.008886785507703634,388.4713058419244,74288807.0,0.5741411928220981,42460.0,137479.0,993312.0,5634054.0,5.671988257465932,15805.0,24.0,632.2,0.010485859183635558,0.004123711340206186
36,DyLDO-core,7626348,0,129899477,3.3358667961106194,19.76658208543143,80117262.0,0.6167635455529971,1503466.0,49058.0,218689.0,1187037.0,3153472.0,2.6565911593320175,5179.0,251.0,20.5515873015873,0.003444707096801657,0.003299982908455056,118.4453781512605,77173385.0,0.5941008138162096,44538.0,222731.0,1169375.0,2884010.0,2.4662832709780864,7368.0,177.0,41.39325842696629,0.00490067617092771,0.009296218487394958,387.891296869625,74222435.0,0.5713836322836003,47317.0,137924.0,1098515.0,5727696.0,5.214035311306628,6249.0,42.0,145.32558139534885,0.004156395954414666,0.007223942208462332
37,DyLDO-core,8605837,0,137153354,3.2688242712992883,19.259946809911263,78896392.0,0.5752421628712048,1462870.0,46656.0,224967.0,1059782.0,3036371.0,2.86509017892359,44278.0,464.0,95.22150537634408,0.030267898036052416,0.006108960686731443,115.66633282378368,75304636.0,0.5490542797808649,42255.0,210167.0,1029744.0,2950944.0,2.865706428005407,62398.0,231.0,268.9568965517241,0.04265450791936399,0.01217647989035897,378.5244091771606,73266458.0,0.5341937026199155,42664.0,137482.0,956391.0,5406566.0,5.653091674848467,62326.0,59.0,1038.7666666666667,0.04260528960194686,0.010177678109366914
38,DyLDO-core,7434989,0,127772862,3.3320630814812047,18.53508077288565,76049910.5,0.5951961105794124,1404366.0,44985.0,223133.0,1029867.0,2959619.0,2.8737875861640387,60471.0,455.0,132.61184210526315,0.04305928796339416,0.0060051736881005175,111.29862101759392,72547248.0,0.5677829146536609,39699.0,200375.0,995009.0,3106389.0,3.1219707560434125,90128.0,260.0,345.31800766283527,0.06417700229142545,0.013736989485919586,365.46651630811937,70376689.0,0.5507952776388464,42376.0,136601.0,936858.0,4621434.0,4.932907655162255,88339.0,51.0,1698.826923076923,0.06290311784819627,0.008848022206800832
39,DyLDO-core,7193077,0,125469390,3.3411063039954088,22.696492012947708,90028548.5,0.7175339618691061,1724888.0,46932.0,305656.0,1208768.0,3042709.0,2.517198502938529,323495.0,932.0,346.7256162915327,0.18754551020124205,0.012263480617910997,136.4771072897985,86011673.0,0.6855191772272106,45300.0,229567.0,1121419.0,3005355.0,2.6799572684250936,484245.0,495.0,976.3004032258065,0.28073996688480646,0.026110349192952843,447.09400380162435,83289356.0,0.6638221162946596,44134.0,153063.0,1059226.0,6554268.0,6.1877899522859146,481380.0,95.0,5014.375,0.2790789894764182,0.016416105063072405
40,DyLDO-core,8138235,0,137479345,3.4348844708004225,22.445412952591308,89211159.0,0.648905906556363,1707243.0,48933.0,291074.0,1190914.0,2938088.0,2.4670866242230756,19865.0,390.0,50.80562659846547,0.011635719109699088,0.005127396071625779,134.44272364552708,85182788.0,0.6196042612801218,44000.0,250933.0,1144659.0,3014384.0,2.6334340620219647,29040.0,224.0,129.06666666666666,0.017009880842973144,0.011759764804703907,440.920282369146,81986832.0,0.5963574528231859,48089.0,144853.0,1031833.0,6611331.0,6.407365339158566,27019.0,41.0,643.3095238095239,0.01582610091240673,0.007059228650137741
41,DyLDO-core,8079219,0,136746062,3.4515050217768155,22.398153384803567,87913435.5,0.6428955555590332,1702954.0,49325.0,227857.0,1135642.0,2987870.0,2.6309963879462015,39745.0,432.0,91.78983833718245,0.023338857068364735,0.0056818929121016425,134.3024185068349,84861610.0,0.6205780902122067,47307.0,216613.0,1118481.0,2933163.0,2.6224522365601204,8216.0,182.0,44.89617486338798,0.004824557797803112,0.009568874868559412,439.28323301805676,82317658.0,0.6019746148155989,47312.0,150209.0,1061951.0,6325972.0,5.9569339828297165,55732.0,45.0,1211.5652173913043,0.032726662023754016,0.007738607050730868
42,DyLDO-core,8141021,0,137429132,3.442313453838961,21.625736143981506,79692815.0,0.5798829828889555,1571672.0,38494.0,225080.0,982238.0,2778763.0,2.8290119095371997,167594.0,3256.0,51.45655511206632,0.10663420866440326,0.04480158511750784,124.59748427672956,76849543.0,0.5591939778823605,34309.0,196044.0,944156.0,2678916.0,2.8373658590317703,198574.0,309.0,640.5612903225806,0.12634570062964792,0.016331060726177262,624.0097935415564,73312410.0,0.5334561088547077,35765.0,140380.0,902337.0,6014819.0,6.665823301050494,247126.0,2077.0,118.92492781520693,0.15723764245974986,0.5497617787188989
43,DyLDO-core,6993943,0,104389336,3.40962448423149,22.637681349873844,90078006.5,0.8629042960863359,1722637.0,48791.0,382496.0,1295048.0,3002964.0,2.3188051717001996,187493.0,3180.0,58.9415278214398,0.10884069017442444,0.041789318755256516,135.61937752584896,86189472.0,0.8256539920897668,50248.0,226723.0,1139825.0,3207607.0,2.81412234334218,228457.0,270.0,843.0147601476015,0.13262051146004644,0.014170996693434105,443.8261765716249,82963531.0,0.79475101747941,48891.0,145441.0,1058444.0,6154302.0,5.81448050156645,276724.0,2084.0,132.72134292565948,0.16063976333957763,0.3579525936104431
44,DyLDO-core,8231914,0,138756520,3.4249395335057486,19.898166737109044,74516981.0,0.5370340867585898,1506530.0,45207.0,236643.0,1075537.0,3019268.0,2.8072190914863926,252235.0,730.0,345.0547195622435,0.167427797654212,0.009641800507185123,119.99761045029737,71030970.0,0.5119108637201336,45329.0,196122.0,1023148.0,3062136.0,2.9928573383322843,325918.0,337.0,964.2544378698225,0.2163368801152317,0.017895072217502125,394.37958115183244,68419808.0,0.4930925624251747,39164.0,137531.0,973871.0,5656305.0,5.808063901687184,374174.0,98.0,3779.5353535353534,0.2483681041864417,0.017102966841186736
45,DyLDO-core,7610859,0,128225988,3.5546750971472183,21.60269332452082,79506033.5,0.6200461758188988,1568874.0,39891.0,265369.0,1030181.0,2789342.0,2.7076232234917943,64874.0,3196.0,20.292148889583984,0.041350675707545664,0.04400749063670412,124.55340319678204,76690358.0,0.5980874797392866,34603.0,229254.0,981777.0,3027434.0,3.083626933611197,96785.0,486.0,198.73716632443532,0.061690741257742814,0.025722451571927596,626.3806228373702,73011667.0,0.5693983578430295,34461.0,134841.0,887346.0,5590770.0,6.30055243388712,94195.0,2091.0,45.02629063097514,0.060039875732531736,0.5565610859728507
