t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1607755683,19,0.270576,0.089274,0.002063,0.095278,0.039622,0.119073,0.270576,0.270576,0.270576,0.270576,0.063328,0.032763,1.130687,2.165374,calls/second,milliseconds
1607755983,68,0.776331,0.049308,0.002063,0.113389,0.020476,0.053813,0.081701,0.776331,0.776331,0.776331,0.113327,0.062868,0.509830,1.596721,calls/second,milliseconds
1607756283,73,3.129401,0.367474,0.002063,0.884448,0.080190,0.080190,3.129401,3.129401,3.129401,3.129401,0.081108,0.011344,0.197314,1.148708,calls/second,milliseconds
1607756583,78,3.129401,0.098377,0.002063,0.100994,0.102696,0.102696,0.102696,0.102696,0.102696,3.129401,0.064998,0.010997,0.082346,0.827692,calls/second,milliseconds
1607756883,83,3.129401,0.096410,0.002063,0.013412,0.103025,0.103025,0.103025,0.103025,0.103025,0.103025,0.055332,0.010994,0.040051,0.597674,calls/second,milliseconds
1607757183,88,3.129401,0.135119,0.002063,0.020496,0.144090,0.144090,0.144090,0.172254,0.172254,0.172254,0.048888,0.010994,0.024492,0.432859,calls/second,milliseconds
1607757466,102,3.129401,0.060671,0.002063,0.039881,0.069757,0.081720,0.115243,0.115243,0.115243,0.184854,0.048973,0.016325,0.026917,0.325969,calls/second,milliseconds
1607757466,102,3.129401,0.060671,0.002063,0.039881,0.069757,0.081720,0.115243,0.115243,0.115243,0.184854,0.048972,0.016325,0.026917,0.325969,calls/second,milliseconds
