t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1609432081,19,0.092339,0.052203,0.000090,0.021564,0.060147,0.063313,0.063646,0.063646,0.063646,0.092339,0.063328,0.022576,0.322636,0.589238,calls/second,milliseconds
1609432383,68,0.322430,0.011662,0.000090,0.019724,0.002986,0.013144,0.043347,0.060793,0.060793,0.322430,0.112950,0.185558,0.234419,0.470591,calls/second,milliseconds
1609432681,73,0.479139,0.131920,0.000090,0.182318,0.036999,0.062083,0.479139,0.479139,0.479139,0.479139,0.081108,0.016491,0.096669,0.341903,calls/second,milliseconds
1609432895,81,0.479139,0.028692,0.000090,0.047162,0.013496,0.036999,0.066344,0.066344,0.370554,0.479139,0.072699,0.025332,0.058047,0.274771,calls/second,milliseconds
1609432895,81,0.479139,0.028692,0.000090,0.047162,0.013496,0.036999,0.066344,0.066344,0.370554,0.479139,0.072698,0.025332,0.058047,0.274771,calls/second,milliseconds
