t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1608811987,247,5.071639,0.003945,0.000482,0.000451,0.003689,0.004385,0.004385,0.004929,0.004929,0.007814,0.022870,0.012988,0.015960,0.016453,calls/second,milliseconds
1608812287,252,5.071639,0.004194,0.000482,0.000726,0.004109,0.004127,0.004127,0.007417,0.007417,0.007417,0.022703,0.012988,0.015960,0.016448,calls/second,milliseconds
1608812587,257,5.071639,0.004932,0.000482,0.000911,0.005425,0.005425,0.006084,0.006084,0.006084,0.006084,0.022544,0.012988,0.015960,0.016444,calls/second,milliseconds
1608812887,262,5.071639,0.005803,0.000482,0.000914,0.006188,0.006188,0.006188,0.008575,0.008575,0.008575,0.022393,0.012988,0.015960,0.016441,calls/second,milliseconds
1608813187,267,5.071639,0.003850,0.000482,0.000349,0.003622,0.004226,0.004226,0.004267,0.004481,0.006188,0.022250,0.012988,0.015960,0.016439,calls/second,milliseconds
1608813487,272,5.071639,0.004980,0.000482,0.001082,0.004374,0.005555,0.005754,0.009394,0.009394,0.009394,0.022114,0.012988,0.015960,0.016437,calls/second,milliseconds
1608813787,277,5.071639,0.003834,0.000482,0.000384,0.003695,0.003695,0.004778,0.004778,0.004778,0.005754,0.021984,0.012988,0.015960,0.016436,calls/second,milliseconds
1608814087,282,5.071639,0.003963,0.000482,0.000656,0.003521,0.004384,0.005062,0.005778,0.005778,0.005778,0.021860,0.012988,0.015960,0.016436,calls/second,milliseconds
1608814387,287,5.071639,0.005087,0.000482,0.001738,0.003783,0.007467,0.007563,0.007563,0.007563,0.007563,0.021742,0.012988,0.015960,0.016435,calls/second,milliseconds
1608814687,292,5.071639,0.005225,0.000482,0.000521,0.005555,0.005555,0.005555,0.005555,0.005555,0.007563,0.021630,0.012988,0.015960,0.016435,calls/second,milliseconds
