t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1607962847,19,4.585359,1.029551,0.012474,0.550287,0.890289,1.464564,1.569246,1.569246,1.569246,4.585359,0.063316,0.028678,0.323502,0.589375,calls/second,milliseconds
1607963147,59,4.585359,0.433691,0.012474,0.591106,0.178323,0.667365,1.367099,2.369695,2.369695,3.539314,0.098321,0.334457,0.230194,0.463996,calls/second,milliseconds
1607963447,77,4.585359,1.366877,0.007533,0.723686,1.524949,1.917859,1.917859,2.121447,2.121447,3.539314,0.085548,0.025956,0.113486,0.347991,calls/second,milliseconds
1607963698,85,4.585359,0.589293,0.007533,0.560181,0.304725,0.976881,1.561100,1.561100,1.561100,1.917859,0.073879,0.018197,0.058715,0.267525,calls/second,milliseconds
1607963698,85,4.585359,0.589293,0.007533,0.560181,0.304725,0.976881,1.561100,1.561100,1.561100,1.917859,0.073878,0.018197,0.058715,0.267525,calls/second,milliseconds
