t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1609423432,22,3.937693,0.674987,0.024217,0.346184,0.713698,0.771672,1.299356,1.497730,1.622431,3.937693,0.073311,0.083802,1.141040,2.168762,calls/second,milliseconds
1609423662,70,3.937693,0.659328,0.024217,0.851609,0.220889,0.941554,2.698220,2.698220,2.698220,2.698220,0.132019,0.104663,0.623423,1.723432,calls/second,milliseconds
1609423662,70,3.937693,0.659328,0.024217,0.851609,0.220889,0.941554,2.698220,2.698220,2.698220,2.698220,0.132018,0.104663,0.623423,1.723432,calls/second,milliseconds
