t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1607781679,19,2.419965,0.104782,0.009440,0.284285,0.012082,0.037710,0.317812,0.899682,1.070145,2.419965,0.063337,0.038943,1.150133,2.177501,calls/second,milliseconds
1607781979,59,2.419965,0.268623,0.007837,0.392925,0.072296,0.413711,0.727285,1.867177,1.943887,1.943887,0.098337,0.211241,0.508034,1.593083,calls/second,milliseconds
1607782279,72,1522.941049,23.486737,0.007837,186.892157,0.067703,0.089453,1.011157,2.855849,1522.941049,1522.941049,0.080001,0.019544,0.218664,1.159296,calls/second,milliseconds
1607782579,77,1522.941049,0.524635,0.007837,23.341560,0.021457,0.078853,1.317936,1.317936,1.317936,1.317936,0.064167,0.015372,0.090873,0.835383,calls/second,milliseconds
1607782879,82,1522.941049,0.059462,0.007837,2.465938,0.052769,0.052769,0.078653,0.078653,0.078653,1.317936,0.054667,0.015344,0.043861,0.603288,calls/second,milliseconds
1607783179,87,1522.941049,0.042140,0.007837,0.259926,0.041730,0.043670,0.045352,0.045352,0.051317,0.078653,0.048334,0.015344,0.026566,0.436985,calls/second,milliseconds
1607783479,98,1522.941049,0.062782,0.003777,0.039497,0.057432,0.060273,0.136737,0.136737,0.136737,0.136737,0.046667,0.016246,0.028003,0.322695,calls/second,milliseconds
1607783779,103,1522.941049,0.032749,0.003777,0.031837,0.010431,0.053257,0.109890,0.109890,0.109890,0.136737,0.042917,0.015350,0.020733,0.235932,calls/second,milliseconds
1607784079,108,1522.941049,0.075238,0.003777,0.043635,0.045806,0.079067,0.149707,0.149707,0.149707,0.149707,0.040000,0.014117,0.017759,0.172800,calls/second,milliseconds
1607784210,114,1522.941049,0.777586,0.003777,0.858766,0.154583,1.210072,2.254959,2.254959,2.254959,2.254959,0.040272,0.059923,0.026606,0.154923,calls/second,milliseconds
1607784210,114,1522.941049,0.777586,0.003777,0.858766,0.154583,1.210072,2.254959,2.254959,2.254959,2.254959,0.040271,0.059923,0.026606,0.154923,calls/second,milliseconds
