t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1609419912,62,6.764523,0.416905,0.029840,0.571257,0.286448,0.426553,1.133862,2.200683,2.693421,5.500608,0.206573,0.347698,1.251257,2.210458,calls/second,milliseconds
1609419983,67,6.764523,0.541798,0.029840,0.792284,0.294418,0.553875,2.693421,3.458448,3.458448,5.500608,0.180442,0.115828,0.993703,2.046103,calls/second,milliseconds
1609419983,67,6.764523,0.541798,0.029840,0.792284,0.294418,0.553875,2.693421,3.458448,3.458448,5.500608,0.180436,0.115828,0.993703,2.046103,calls/second,milliseconds
