t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1607730129,68,0.372868,0.030714,0.005216,0.050039,0.015514,0.025360,0.091961,0.250629,0.250629,0.372868,0.226642,0.280998,1.257616,2.215401,calls/second,milliseconds
1607730429,73,2.520819,0.669501,0.005216,0.957082,0.213466,0.213466,2.520819,2.520819,2.520819,2.520819,0.121660,0.019898,0.473435,1.592167,calls/second,milliseconds
1607730729,78,2.520819,0.200853,0.005216,0.120942,0.193643,0.209679,0.209679,0.209679,0.209679,2.520819,0.086664,0.018138,0.184951,1.145601,calls/second,milliseconds
1607730767,82,2.520819,0.083037,0.005216,0.101658,0.025270,0.203935,0.203935,0.209679,0.209679,0.213466,0.087481,0.010122,0.164585,1.101905,calls/second,milliseconds
1607730767,82,2.520819,0.083037,0.005216,0.101658,0.025270,0.203935,0.203935,0.209679,0.209679,0.213466,0.087480,0.010122,0.164585,1.101905,calls/second,milliseconds
