Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,4129,0,0,0,0,0,4160,0,9490,0,9490,13738,0,9490,0 
1,1033,235,2749,0,0,5742,1033,845,1492,625,4712,1659,2589,4241,3748 
2,958,218,2619,0,0,6313,958,836,1584,483,4652,1798,2362,4203,3670 
3,833,253,2279,0,0,7166,833,831,1664,416,4510,1865,2034,3943,3350 
4,762,232,2256,0,0,7718,762,815,1733,399,4562,1950,1934,3989,3391 
5,850,214,2147,0,0,8412,850,763,1948,349,4678,2288,1814,4095,3295 
6,910,193,2034,0,0,9310,910,720,2111,293,4744,2567,1657,4145,3197 
7,947,194,2030,0,0,10205,947,673,2227,275,4939,2875,1677,4257,3250 
8,918,150,2199,0,0,11068,918,668,2336,316,5188,3207,1834,4535,3394 
9,1010,156,2559,0,0,11788,1010,662,2407,354,5655,3539,2259,4966,3815 
10,903,199,2578,0,0,12915,903,691,2430,399,5699,3630,2269,5008,3839 
11,873,176,2577,0,0,14096,873,652,2467,359,5765,3640,2322,5044,3827 
12,849,143,2719,0,0,15155,849,654,2482,402,5885,3752,2396,5201,3985 
13,813,159,2791,0,0,16294,813,589,2495,372,5998,3662,2498,5286,4062 
14,776,151,3119,0,0,17183,776,627,2502,445,6303,3748,2794,5621,4397 
15,736,135,2982,0,0,18540,736,560,2485,400,6172,3704,2660,5467,4264 
16,803,149,3229,0,0,19505,803,586,2488,437,6366,3655,2918,5717,4502 
17,685,140,3061,0,0,20888,685,549,2463,438,6215,3656,2745,5524,4334 
18,648,117,3099,0,0,22034,648,507,2451,408,6190,3641,2709,5550,4378 
19,677,115,3111,0,0,23248,677,481,2421,449,6162,3624,2794,5532,4336 
20,641,126,3060,0,0,24486,641,511,2397,431,6009,3598,2648,5457,4294 
21,641,110,3247,0,0,25500,641,510,2355,457,6100,3478,2818,5602,4443 
22,620,116,3223,0,0,26681,620,481,2311,441,6061,3404,2813,5534,4421 
23,558,97,2963,0,0,28103,558,403,2272,403,5784,3313,2653,5235,4112 
24,544,107,2936,0,0,29268,544,440,2233,379,5683,3229,2582,5169,4070 
25,520,108,2966,0,0,30345,520,447,2177,364,5606,3127,2531,5143,4092 
