Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,6714,1347,12282,4828,191822,216993,215104
1,4860,573,8848,3847,208457,226585,232915
2,4720,4498,4754,3802,218352,236126,238455
3,3850,3689,3978,3819,226677,242013,251637
4,3300,3142,3611,3617,233327,246997,262371
5,3482,428,6352,3578,238686,252526,280686
6,3183,3116,3367,3582,259992,273240,280180
7,2792,502,5197,4150,276785,289426,313356
8,2866,2836,3390,3874,268960,281926,308631
9,2603,2616,3350,3973,289735,302277,340419
10,2725,2953,3140,5117,313034,326969,366428
11,2838,2962,3231,4028,314283,327342,394522
12,3351,407,6013,4250,312286,326307,392711
13,2742,2949,3156,4701,322875,336423,445748
14,2973,2800,3266,4516,345535,359090,481079
15,3001,2822,3248,5473,354526,369070,508072
16,2962,2768,3202,5414,356422,370768,544621
17,3558,554,6445,5341,382237,398135,569760
18,3656,3266,3857,5681,375862,392322,599068
19,3555,3483,4226,6633,393678,411575,627164
20,3205,3408,3621,5346,367547,383127,662512
21,3361,3668,3873,5587,366118,382607,693232
22,3769,514,7065,5548,377708,394604,714566
23,3511,3266,3761,6147,370917,387602,753600
24,3937,3695,4276,6602,392685,411195,778159
25,3764,3765,4710,6347,380977,399563,821117
26,3735,3447,3971,6003,367663,384819,842549
27,3758,3521,3971,7163,379724,398137,856552
28,3633,3353,3902,6309,357181,374378,872442
29,4055,3693,4243,6612,350219,368822,889592
30,4037,539,7651,6835,330738,349800,914199
31,3597,3559,4490,7013,326968,345627,938745
32,3407,3392,4322,7206,328951,347278,951389
33,4042,3773,4418,6777,292280,311290,961397
34,4065,3881,4272,6526,295108,313852,970882
35,3678,555,6783,6574,270704,288294,991100
36,4470,4206,4780,7411,257561,278428,989914
37,4058,590,7517,7173,253462,272800,1012730
38,4240,777,7708,6990,230748,250463,1009248
39,4205,4458,4742,6688,234942,255035,1015517
40,4219,4520,4863,6880,212835,233317,1048311
41,3879,3922,4822,6896,219316,238835,1027560
42,4385,583,8286,6905,197945,218104,1012084
43,3665,3892,4281,6937,172537,191312,1019118
44,3745,3992,4272,7746,158730,178485,1013785
45,3436,3683,3981,7278,163380,181758,1006154
46,3906,3673,4223,6786,154812,173400,1016919
47,3925,564,7291,7489,148444,167713,1006016
48,3463,3785,4103,6789,129311,147451,988196
49,4456,588,8329,7162,130708,151243,982558
