Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,3077040,3381485,3174210,322960,163926,10119621,9705795
1,2337203,2557791,2413745,218093,160117,7686949,8044135
2,2143061,1922501,2049179,230342,213330,6558413,6855661
3,1788668,1627357,1675136,213244,283230,5587635,5944763
4,1542241,71217,2758463,218588,343458,4933967,5290077
5,1187092,1302112,1188416,195835,425335,4298790,4809840
6,1133263,1023796,1032606,180820,431172,3801657,4382677
7,961814,869447,881061,177893,428503,3318718,4038100
8,783804,857797,777291,157449,381440,2957781,3813183
9,658039,696210,796397,152926,346418,2649990,3387450
10,660596,578719,634998,148771,299286,2322370,3165663
11,595640,543430,535751,138799,273673,2087293,2811223
12,509413,447600,492816,133587,231840,1815256,2588470
13,470503,426982,427567,128695,205340,1659087,2360105
14,416555,16675,744770,118058,189680,1485738,2169933
15,329892,341229,394130,110395,165188,1340834,2027736
16,350059,14007,629679,106741,163347,1263833,1850507
17,317099,12927,562005,107636,138643,1138310,1728426
18,290747,11643,519585,95955,128678,1046608,1604101
19,246198,269665,247047,99251,122224,984385,1496207
20,254342,9761,448146,95031,113119,920399,1405845
21,204347,232072,219658,92062,100367,848506,1323074
22,195913,213458,197072,89803,94162,790408,1251128
23,207185,8707,371334,83167,88157,758550,1203070
24,167780,192750,182099,84183,82758,709570,1140438
25,179437,7625,322857,74950,77433,662302,1090329
26,169696,6610,305990,79744,67031,629071,1040838
27,159508,139623,153185,70466,66395,589177,973726
28,149977,137184,137455,74972,64056,563644,943357
29,146714,128303,139306,66640,54394,535357,909639
30,122616,125021,144728,69331,51040,512736,859946
31,131359,116330,124440,67937,52889,492955,854219
32,126659,5320,233517,67048,47657,480201,794447
33,123320,112589,113929,62098,46597,458533,772599
34,115759,103565,112052,60701,42501,434578,770843
35,111649,100065,108337,57840,41026,418917,745256
36,99854,109349,99962,54686,39827,403678,718089
37,105959,4603,189809,51937,35952,388260,686767
38,90051,102177,97547,54616,33216,377607,671321
39,99455,4077,177418,50851,34275,366076,667794
40,97221,4200,176065,53306,31406,362198,654524
41,85090,94490,90688,51697,28505,350470,614050
42,84232,81865,94638,50001,27417,338153,611488
43,90976,80436,86789,46774,27145,332120,594177
44,77733,86510,83910,49150,26930,324233,579241
45,79856,78279,91513,47120,26877,323645,587047
46,85873,75153,82135,43489,23527,310177,584277
47,76447,85375,80553,47809,21806,311990,568958
48,82251,70582,77468,46656,20779,297736,565903
49,78180,3089,139543,46802,21210,288824,557028
