Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,9900,6853,13915,5908,580719,617295,577721
1,6439,2144,10707,3953,306499,329742,495271
2,3286,3174,3272,1953,156007,167692,176082
3,1422,1634,1536,994,79473,85059,5570
