Iteration,Update time,Reading time,Waiting time,Total time,SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes)
0,235,46,21,302,8316,9852,9852,301849,8439,70939,1431318
1,209,131,33,373,9299,10701,10701,333206,9429,73291,1538988
2,186,48,29,263,10202,11606,11606,361062,10334,75428,1616226
3,172,47,29,248,11143,12566,12566,389879,11283,78126,1703136
4,194,46,36,276,12022,13564,13564,419427,12168,80756,1778666
5,203,63,37,303,12900,14602,14602,449180,13049,83532,1855934
6,245,60,35,340,13708,15647,15647,480736,13861,86184,1926022
7,235,65,27,327,14576,16727,16727,512429,14731,89275,2013302
8,186,58,34,278,15409,17826,17826,544238,15569,92525,2098047
9,221,49,32,302,16174,18945,18945,575441,16336,95631,2177944
10,241,58,45,344,17038,20095,20095,610368,17206,99399,2289801
11,217,52,41,310,17849,21247,21247,642772,18019,103036,2390526
12,236,78,32,346,18683,22436,22436,677925,18856,106776,2486815
13,234,71,43,348,19578,23622,23622,712421,19755,111368,2597832
14,270,91,45,406,20363,24800,24800,747095,20543,115340,2691963
15,256,82,42,380,21162,25969,25969,780474,21342,119246,2789164
16,285,94,46,425,21985,27150,27150,814713,22167,123384,2884061
17,306,104,63,473,22876,28305,28305,848705,23063,127787,2991273
18,335,101,50,486,23646,29460,29460,882634,23835,131579,3080353
19,284,96,34,414,24383,30604,30604,914934,24576,135374,3172523
20,347,92,50,489,25177,31746,31746,948098,25371,139302,3267584
21,269,105,45,419,25913,32882,32882,979658,26108,142898,3356998
22,243,74,39,356,26645,33973,33973,1011231,26842,146415,3440685
23,352,110,45,507,27315,35032,35032,1039854,27514,149470,3513086
24,286,98,40,424,28016,36073,36073,1071030,28218,152753,3591749
25,276,79,42,397,28706,37090,37090,1099786,28908,155855,3667636
26,316,95,42,453,29233,38076,38076,1126611,29435,158224,3724563
27,367,128,41,536,29826,39034,39034,1154820,30029,160804,3787969
28,342,106,42,490,30338,39989,39989,1179586,30543,163005,3844974
29,381,140,42,563,30865,40903,40903,1205093,31072,165026,3898095
30,350,128,38,516,31360,41785,41785,1229174,31567,166966,3950073
31,380,132,47,559,31817,42638,42638,1251689,32025,168887,3999713
32,345,121,53,519,32259,43444,43444,1273095,32468,170419,4039931
33,310,110,47,467,32669,44244,44244,1293821,32880,171789,4076936
34,322,102,47,471,33090,44997,44997,1314327,33301,173057,4112845
35,362,109,31,502,33399,45753,45753,1332926,33610,173771,4133728
36,335,114,41,490,33688,46443,46443,1351025,33899,174576,4155860
37,333,103,46,482,33990,47144,47144,1368931,34201,175271,4178685
38,263,104,47,414,34191,47809,47809,1383738,34402,175343,4188837
39,298,125,36,459,34433,48435,48435,1400383,34644,175725,4203170
40,300,109,42,451,34657,49023,49023,1413710,34869,175986,4216628
41,313,107,53,473,34867,49577,49577,1427492,35079,176167,4227155
42,310,100,40,450,35018,50115,50115,1439861,35232,176085,4232714
43,277,84,45,406,35180,50626,50626,1450259,35394,176011,4236356
44,251,86,42,379,35280,51129,51129,1460902,35495,175547,4231160
45,304,117,45,466,35373,51591,51591,1473111,35588,175016,4225859
46,275,102,32,409,35462,52040,52040,1481854,35677,174492,4219324
47,293,104,49,446,35529,52458,52458,1489248,35745,173948,4212082
48,281,119,36,436,35550,52867,52867,1494430,35766,173207,4198585
49,277,122,28,427,35583,53214,53214,1504179,35799,172711,4189254
