Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,5970,6213,8131,6284,40176,66774,58685
1,4232,4616,4959,3989,29695,47491,67241
2,3841,520,6753,3582,30286,44982,72734
3,2871,3057,3260,3387,29116,41691,83378
4,4221,406,7720,3668,32750,48765,82496
5,3009,2846,3231,3227,33518,45831,90312
6,3741,3476,3850,3223,34921,49211,90407
7,3069,3353,3488,3363,37119,50392,99309
8,3143,2983,3342,4235,36434,50137,101654
9,2998,2806,3172,3512,38553,51041,109548
10,3443,506,6469,3628,37111,51157,113748
11,3456,3517,4132,3974,38085,53164,118744
12,3241,3025,3420,3896,37547,51129,125402
13,3317,3072,3483,4065,38119,52056,126291
14,3367,393,6449,4058,39520,53787,135690
15,3392,3615,3790,4175,39670,54642,138073
16,2916,3121,3326,5007,40878,55248,144903
17,3338,3066,3566,5174,37899,53043,149183
18,3865,3575,4125,4630,39134,55329,149947
19,3100,2861,3344,5381,38454,53140,160813
20,3925,3931,4542,4927,40039,57364,158795
21,4032,3760,4297,4952,39649,56690,160754
22,4037,499,7448,5038,34515,51537,172031
23,3765,3525,3991,5286,40476,57043,169229
24,3519,3269,3733,6558,35444,52523,175390
25,4375,4136,4640,5776,35113,54040,182298
26,4102,521,7303,5564,36029,53519,178284
27,3442,3160,3736,6368,30543,47249,186436
28,4335,508,8062,7224,31285,51414,194432
29,4249,3999,4480,5871,31229,49828,190608
30,4231,3932,4443,6067,32246,50919,193374
31,4301,3941,4591,8076,31644,52553,189104
32,4350,4665,4682,5972,30179,49848,206845
33,4956,4534,5046,6670,29905,51111,201770
34,3756,3796,4663,6401,31831,50447,203621
35,4840,519,9020,6255,27316,47950,205914
36,3868,4154,4362,6467,26713,45564,190004
37,4512,4049,5019,6846,23735,44161,188448
38,4506,4493,5382,7572,19694,41647,184794
39,4186,3864,4402,6656,21706,40814,188857
40,4240,554,7885,6991,20974,40644,191399
41,4219,3962,4432,6421,18904,37938,190366
42,4066,4160,5243,7199,17111,37779,192698
43,4167,641,7699,7518,18615,38640,196980
44,4142,538,7634,6819,18605,37738,193872
45,4789,4298,5064,6931,16537,37619,194614
46,4096,653,7579,6584,15581,34493,193040
47,4946,4721,5164,6809,14451,36091,188590
48,4576,4178,4784,6881,15072,35491,186261
49,3785,4095,4340,6339,13047,31606,187410
