Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,4114,0,0,0,0,0,4174,0,9866,0,9866,22137,0,9866,0 
1,2014,263,3554,0,0,5307,2017,1156,1865,1493,5503,2535,2987,5419,4559 
2,2228,326,3572,0,0,6107,2228,1277,1949,1335,5680,2662,3130,5521,4619 
3,2237,381,3561,0,0,6974,2239,1553,2043,1282,5620,2867,2864,5604,4654 
4,2167,407,3445,0,0,8007,2168,1649,2117,1100,5591,2967,2694,5562,4571 
5,2219,418,3649,0,0,8754,2219,1700,2175,1116,5769,3072,2864,5824,4815 
6,2177,379,3575,0,0,9824,2179,1644,2259,1086,5828,3210,2770,5834,4754 
7,2354,402,3728,0,0,10704,2354,1832,2305,1065,5914,3215,2801,6033,4954 
8,2093,443,3528,0,0,11963,2096,1671,2360,999,6031,3393,2834,5888,4774 
9,2347,429,3788,0,0,12818,2348,1814,2413,935,6080,3424,2848,6201,5033 
10,2256,424,3749,0,0,13986,2256,1826,2435,969,6111,3514,2786,6184,5033 
11,2262,408,3869,0,0,14983,2262,1788,2454,1031,6343,3553,2988,6323,5187 
12,2205,414,3808,0,0,16196,2205,1832,2488,917,6279,3568,2922,6296,5110 
13,2056,412,3817,0,0,17359,2057,1795,2486,932,6308,3607,2903,6303,5133 
14,2133,370,3965,0,0,18384,2133,1718,2482,973,6356,3595,2922,6447,5278 
15,2149,384,3934,0,0,19584,2149,1781,2484,948,6334,3602,2926,6418,5247 
16,2059,379,3784,0,0,20909,2059,1658,2490,842,6273,3570,2868,6274,5093 
17,1910,354,3745,0,0,22150,1911,1584,2454,916,6228,3580,2860,6199,5033 
18,1859,364,3567,0,0,23511,1860,1507,2438,817,6103,3521,2768,6005,4838 
19,1847,326,3752,0,0,24500,1847,1549,2420,887,6228,3486,2945,6172,5016 
20,1742,324,3599,0,0,25815,1742,1501,2380,818,6042,3430,2780,5979,4857 
21,1777,317,3640,0,0,26926,1777,1507,2334,780,5964,3337,2726,5974,4868 
22,1686,302,3529,0,0,28156,1687,1397,2297,749,5869,3288,2677,5826,4744 
23,1681,313,3536,0,0,29262,1681,1440,2266,728,5746,3172,2673,5802,4720 
24,1601,274,3470,0,0,30421,1602,1333,2211,788,5691,3123,2649,5681,4643 
25,1584,284,3618,0,0,31330,1584,1358,2163,802,5801,3003,2848,5781,4772 
26,1495,270,3274,0,0,32702,1495,1252,2119,718,5447,2997,2555,5393,4409 
27,1482,257,3256,0,0,33751,1482,1216,2057,669,5327,2873,2511,5313,4344 
28,1402,258,3059,0,0,34916,1403,1161,2012,643,5187,2777,2386,5071,4148 
29,1321,261,3081,0,0,35869,1321,1158,1951,631,5062,2688,2373,5032,4118 
30,1340,216,2945,0,0,36930,1341,1049,1897,640,4961,2554,2336,4842,3971 
31,1307,197,2979,0,0,37806,1308,1010,1833,582,4885,2491,2364,4812,3966 
32,1225,220,2807,0,0,38855,1225,1021,1783,539,4628,2401,2178,4590,3763 
33,1209,215,2804,0,0,39717,1209,1041,1721,581,4554,2285,2192,4525,3728 
34,1087,191,2695,0,0,40656,1087,942,1661,547,4353,2207,2067,4356,3586 
35,1060,169,2504,0,0,41643,1061,906,1614,510,4128,2099,1873,4118,3369 
36,1050,157,2459,0,0,42463,1050,830,1545,493,4087,2023,1926,4004,3298 
37,989,164,2533,0,0,43121,989,857,1486,460,4028,1904,1979,4019,3346 
38,831,165,2212,0,0,44165,831,776,1430,433,3678,1819,1697,3642,2975 
39,872,174,2258,0,0,44784,872,826,1387,440,3675,1781,1783,3645,3023 
40,856,155,2130,0,0,45581,856,772,1317,397,3427,1640,1592,3447,2848 
41,826,136,2014,0,0,46306,826,677,1275,365,3373,1591,1590,3289,2722 
42,671,121,1821,0,0,47114,671,601,1217,318,3109,1531,1392,3038,2481 
43,721,114,1854,0,0,47658,721,624,1165,341,3034,1429,1411,3019,2494 
44,701,128,1819,0,0,48235,701,641,1115,327,2965,1368,1396,2934,2442 
45,550,104,1568,0,0,49011,550,536,1066,286,2699,1323,1165,2634,2158 
46,592,131,1562,0,0,49500,592,577,1021,303,2646,1270,1168,2583,2145 
47,551,124,1453,0,0,50079,551,518,975,243,2492,1156,1101,2428,2004 
48,509,111,1560,0,0,50423,509,548,913,287,2480,1117,1168,2473,2084 
49,474,94,1338,0,0,51055,474,457,869,232,2243,1057,996,2207,1841 
