Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,7356,0,0,0,0,0,7427,0,99964,0,99964,387713,0,99964,0 
1,4315,252,35765,0,0,54199,4317,1195,19788,10999,40572,47981,10889,55553,45765 
2,5318,430,39043,0,0,60249,5323,1929,20539,12411,44347,42676,13779,59582,49503 
3,6468,562,40432,0,0,68534,6471,2495,21207,12457,47250,38455,15972,61639,51297 
4,7293,738,41085,0,0,77834,7293,3125,21700,12087,49782,34755,17940,62785,52339 
5,8049,846,41586,0,0,87409,8052,3852,22056,11700,52194,32019,19844,63641,53210 
6,8062,1038,41934,0,0,97179,8065,4390,22139,11185,54372,29550,21928,64073,53871 
7,7599,1101,41391,0,0,107638,7601,4795,21984,10623,55531,27612,23124,63375,53614 
8,6670,1195,41285,0,0,117266,6670,5130,21593,9686,56204,25725,23991,62878,53747 
9,5968,1210,39987,0,0,127515,5970,5410,20805,9176,55239,23896,23620,60792,52629 
10,5090,1156,37864,0,0,137636,5090,5055,19733,8214,53543,22122,22658,57596,50671 
11,4451,1088,36277,0,0,146011,4451,4998,18221,7701,51439,19912,21912,54497,49221 
12,3710,1105,32625,0,0,154899,3711,4790,16578,6608,47815,17816,19725,49202,45609 
13,3217,925,29218,0,0,162030,3217,4230,14910,5440,44228,15790,17797,44128,42071 
14,2941,910,27321,0,0,166145,2941,4085,13073,5184,41088,13660,16495,40394,40013 
15,2541,846,24276,0,0,169946,2541,3725,11411,4521,37161,11836,14463,35686,36593 
16,2385,785,22404,0,0,171188,2385,3515,9913,4192,34305,10231,13284,32316,34444 
17,2122,751,19441,0,0,172543,2122,3171,8582,3706,30845,8827,11629,28023,30961 
18,2009,660,18022,0,0,171514,2009,3100,7292,3420,28336,7450,10756,25313,29052 
19,1776,614,16128,0,0,170322,1776,2753,6081,3127,25446,6192,9636,22209,26505 
20,1711,541,14812,0,0,167891,1711,2574,5270,2786,23256,5344,8772,20082,24640 
21,1505,502,13221,0,0,165436,1505,2355,4568,2434,21284,4620,7980,17789,22537 
22,1426,446,12067,0,0,162543,1426,2171,3858,2249,19339,3893,7350,15923,20682 
23,1407,420,11536,0,0,158870,1407,2060,3343,2180,18060,3379,7144,14879,19596 
24,1271,444,10067,0,0,156184,1271,1990,2740,2012,15923,2773,6113,12807,17565 
25,1078,342,9116,0,0,152842,1078,1724,2448,1747,14739,2468,5618,11564,16149 
26,970,355,8061,0,0,149917,970,1592,2114,1561,13114,2125,4875,10175,14489 
27,1017,322,7651,0,0,146286,1017,1456,1783,1557,12404,1792,4788,9434,13806 
28,959,279,7004,0,0,143049,959,1475,1502,1383,11201,1505,4343,8506,12671 
29,820,266,6002,0,0,140407,820,1269,1336,1173,9889,1342,3622,7338,11148 
30,730,267,5587,0,0,137318,730,1209,1139,1122,9137,1142,3413,6726,10427 
31,685,227,5143,0,0,134363,685,1043,1013,1108,8528,1018,3199,6156,9681 
32,681,210,4906,0,0,131367,681,1060,869,1047,7988,872,3075,5774,9152 
33,662,215,4527,0,0,128629,662,994,748,1006,7439,749,2890,5275,8512 
34,592,196,4250,0,0,126099,592,935,639,930,6709,642,2688,4889,7805 
35,555,182,3968,0,0,123635,555,860,586,907,6295,588,2488,4554,7353 
36,586,164,3845,0,0,121190,586,905,529,841,5929,530,2422,4374,6999 
37,525,166,3531,0,0,119086,525,829,450,814,5486,451,2239,3981,6478 
38,464,135,3158,0,0,117150,464,700,388,664,5043,389,2013,3546,5917 
39,421,136,2713,0,0,115517,421,663,361,550,4442,361,1739,3074,5179 
40,393,126,2509,0,0,113763,393,593,286,539,4081,286,1573,2795,4828 
41,347,110,2363,0,0,111939,347,556,262,509,3940,262,1531,2625,4619 
42,330,115,2332,0,0,110136,330,502,214,503,3752,214,1542,2546,4428 
43,357,98,2271,0,0,108510,357,538,200,495,3456,200,1451,2471,4172 
44,336,106,2055,0,0,107091,336,500,181,466,3278,181,1354,2236,3890 
45,325,90,1962,0,0,105601,325,498,177,480,3095,177,1243,2139,3726 
46,313,95,1735,0,0,104349,313,448,157,381,2817,157,1086,1892,3391 
47,223,86,1640,0,0,103046,223,374,138,345,2658,138,1018,1778,3195 
48,246,82,1474,0,0,101947,246,409,142,323,2438,142,967,1616,2877 
49,249,100,1578,0,0,100621,249,431,119,351,2447,119,1022,1697,2942 
