Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,4381,4551,5100,5635,129536,149204,139301
1,2244,1131,3529,3279,115170,125355,112688
2,1765,1923,2010,3050,93430,102179,95871
3,2481,1200,3638,3754,110597,121672,108715
4,4079,2189,6386,5365,138169,156189,152014
5,5213,5036,5734,7055,161621,184659,181282
6,6410,3396,10258,8665,188013,216743,219107
7,7451,7857,7391,10246,211838,244784,248518
8,6326,6701,7432,8237,238314,267011,256904
9,5693,2645,8625,7779,258830,283573,264114
10,5460,2771,7747,7760,278834,302573,270145
11,5693,5463,5624,7894,275890,300565,286758
12,5066,5133,5411,7628,279396,302634,294695
13,5682,5423,5525,9053,289334,315018,307197
14,5822,256,11286,8972,298198,324535,320085
15,5934,2970,8998,8864,304268,331036,319555
16,6135,2950,9031,9373,311492,338981,344551
17,6590,6323,6608,9723,307162,336408,352361
18,6319,6034,6692,9147,308406,336599,369268
19,6779,6842,7316,9597,315078,345613,379156
20,7285,6915,7270,9859,317175,348504,389125
21,6938,6827,7017,10614,321586,352983,412153
22,7507,3772,11486,10903,334106,367775,429062
23,7593,7849,7621,11065,320236,354365,427329
24,7728,3675,11336,11022,321237,354999,444968
25,7523,7524,7403,11524,334882,368857,458923
26,7961,4206,11624,11737,324694,360223,477561
27,7694,333,14756,11999,331262,366045,483520
28,7234,7567,8115,11258,320786,354961,485680
29,7573,3786,11053,11750,316216,350380,485092
30,7584,7643,7722,12028,292234,327211,489635
31,7562,3787,11288,11921,287574,322133,503882
32,8160,4025,12269,11753,282651,318859,501345
33,7960,7912,7697,12718,274818,311107,514287
34,7906,8004,8655,12581,267796,304943,521451
35,7922,7534,7845,12166,258413,293881,523595
36,8010,361,15736,12271,245720,282100,517803
37,7651,7801,8175,12356,225395,261379,527724
38,7979,7599,8194,12400,222623,258796,518950
39,7924,3991,11919,12324,211996,248154,503379
40,7497,4085,11470,11983,205175,240210,511985
41,7634,7297,7897,11757,189278,223865,515550
42,7935,4041,11439,12147,185286,220848,523143
43,7441,3574,11316,12485,185805,220623,518880
44,7791,7688,7925,12370,180097,215872,510941
45,7296,7587,7834,12549,173535,208802,535271
46,8176,8032,8350,13617,169746,207923,539557
47,7934,7856,7883,12126,173952,209753,538788
48,7982,7634,8500,12328,171011,207456,558090
49,7755,4722,11204,12692,161691,198065,559612
