Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,3828,422,7764,2102,23371,37487,27945
1,1699,1590,1894,1216,7298,13697,25281
2,1363,1392,1523,1482,7426,13186,25321
3,1169,1223,1307,1447,6371,11517,24199
4,1140,1062,1335,838,5644,10019,22122
5,1088,49,2347,808,5484,9776,25167
6,1076,2081,1099,856,6464,11576,25011
7,1268,1310,1315,1073,6917,11883,27959
8,1638,1433,1458,1492,6568,12589,27060
9,1790,2026,1791,1196,7373,14176,30650
10,2263,3047,2282,2242,7251,17085,35451
11,2618,82,4883,1454,7738,16775,36056
12,3123,2639,2604,1633,6882,16881,37899
13,3340,114,6962,1629,7033,19078,41011
14,3601,99,6252,2022,6722,18696,44656
15,3490,104,7202,1957,6700,19453,43222
16,3904,3478,3947,2205,7347,20881,45015
17,4038,103,9867,2209,6798,23015,48152
18,4220,4405,4157,3117,6529,22428,48648
19,6149,126,8305,2337,6673,23590,51941
20,4609,5429,4388,3926,7065,25417,52422
21,6692,4517,4620,2589,6919,25337,
