Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,5852,5870,7686,5721,8671,33800,29178
1,3911,1008,7032,3728,4612,20291,26858
2,4121,493,7690,3570,4149,20023,24897
3,4938,470,8199,3457,4550,21614,23762
4,3044,2998,3651,3133,4127,16953,22965
5,2447,2252,2584,3508,4497,15288,24166
6,2376,2164,2564,3559,4277,14940,23234
7,2098,2300,2481,3581,4111,14571,24346
8,2313,372,4259,3641,5087,15672,26045
9,2937,2743,3106,3419,4602,16807,23571
10,2829,3051,3262,3666,4496,17304,23567
11,2389,2215,2648,3955,5161,16368,27452
12,2928,365,5429,3741,4203,16666,25307
13,3174,2967,3377,4237,4770,18525,25588
14,3255,395,6016,3986,4607,18259,26017
15,2570,457,4633,4837,5571,18068,29054
16,3654,3628,4294,4805,4375,20756,28093
17,3302,427,6000,4300,4680,18709,25410
18,2868,2660,3088,4440,4476,17532,30273
19,3324,2983,3338,5447,5006,20098,30661
20,3326,3104,3524,4653,4468,19075,32425
21,3501,3279,3685,4885,5070,20420,30735
22,3580,3356,3764,4909,5131,20740,31995
23,3209,463,5882,5066,4613,19233,33059
24,3826,3551,4061,5824,4545,21807,33952
25,3198,501,5833,6062,4842,20436,32337
26,3782,486,6775,6627,5083,22753,31821
27,3372,520,6222,6331,5255,21700,35431
28,3602,3595,4367,5502,4634,21700,33057
29,3937,3592,4107,6446,4986,23068,34859
30,3456,522,6311,6940,4684,21913,36193
31,3741,525,6838,5801,4384,21289,34113
32,4290,596,7935,6115,5463,24399,35498
33,4120,570,7659,6010,4751,23110,33700
34,3749,4008,4256,7184,5228,24425,36575
35,4081,3840,4314,5978,4320,22533,36509
36,4010,3964,4803,6314,4323,23414,35905
37,3742,3430,3936,6949,4403,22460,39297
38,3776,530,7044,6147,4415,21912,36424
39,3863,542,7055,6226,3750,21436,34734
40,3605,3552,4460,6531,4702,22850,36178
41,3260,3267,4075,7011,4840,22453,35366
42,3196,3197,4090,6379,4435,21297,38327
43,3535,3288,3771,6497,3629,20720,37682
44,3654,3663,4435,6295,3969,22016,34116
45,3668,3716,4734,7544,3953,23615,36273
46,4201,3862,4378,7363,4142,23946,38130
47,3675,521,6755,7354,4455,22760,36708
48,3535,3207,3820,7586,5037,23185,34061
49,3500,519,6445,7428,4433,22325,37534
