File,|V|,|E|,|Instances|,Avg. Types,SD Types,Avg. Props,SD Props.,Avg. Inc. Props,SD Inc. Props.,Avg. Sources,SD Sources,Unique Types,Unique Props.,Unique Sources
iteration-4.nq.gz,14136,127322,12365,1.3895673271330369,0.8825235929141585,10.296967246259603,11.194322749021984,10.264592067075137,11.22620601334377,1.420380105135463,0.677932694784664,10,10,50
iteration-19.nq.gz,32773,199560,29258,1.3949005400232415,0.8857281141404401,6.820698612345342,5.1339943688097955,6.82699873422052,5.12900903622171,1.3123590129195433,0.551483404663416,10,10,50
iteration-48.nq.gz,58056,243110,49800,1.3760441767068272,0.8833218234772524,4.881726907630522,3.6372552747167837,4.882021005281443,3.65300642749416,1.226726907630522,0.47013256453041935,10,10,50
iteration-24.nq.gz,38728,223095,34288,1.3872491833877743,0.8869238769885287,6.506503733084461,4.83180879935813,6.496272785510453,4.839991179251893,1.2999883341110592,0.5381589221864721,10,10,50
iteration-44.nq.gz,55897,228630,48019,1.3783502363647724,0.8841577906489658,4.761240342364481,3.382849485465318,4.764514650106281,3.3826863445928934,1.2232657906245445,0.4647863075023432,10,10,50
iteration-47.nq.gz,57554,239417,49394,1.3757946309268332,0.8829603520498311,4.847086690691177,3.5733399314475007,4.847479246811095,3.5841150889962172,1.2261003360732072,0.4688738878782469,10,10,50
iteration-43.nq.gz,55286,226104,47537,1.3796200854071565,0.8846815361140102,4.756379241432989,3.33457236648819,4.758781807084377,3.3337379645596585,1.22214275196163,0.4630389219217175,10,10,50
iteration-2.nq.gz,12033,48726,10460,1.384416826003824,0.8816842446856097,4.658317399617591,3.0158413236934423,4.6374797753878365,3.0297870928760324,1.2191204588910134,0.4537685737995144,10,10,50
iteration-17.nq.gz,30223,187766,27077,1.389555711489456,0.8837802674998042,6.934520072386158,5.187623175349084,6.93400790280291,5.192996218391827,1.3119991136388818,0.5514565044030457,10,10,50
iteration-27.nq.gz,42019,230610,37057,1.3872142914968832,0.8844951106773753,6.223115740615808,4.5383449605132204,6.2132234076947945,4.5490541289169775,1.2890142213347007,0.5269194506209937,10,10,50
iteration-13.nq.gz,24935,166207,22605,1.3831453218314531,0.883743880112732,7.352665339526653,5.294555520141597,7.359176444542838,5.3044747451124366,1.3295288652952886,0.5636775117035882,10,10,50
iteration-8.nq.gz,18584,191754,16938,1.3779076632424134,0.8817836427956668,11.320935175345378,8.821478274414423,11.302917771883289,8.817768364911894,1.4849450938717677,0.6840050092612593,10,10,50
iteration-22.nq.gz,36424,214597,32348,1.3917089155434648,0.8847535988774313,6.634011376282923,4.946723896243712,6.634011376282923,4.946561410457711,1.3024298256460987,0.5412480544097614,10,10,50
iteration-35.nq.gz,49563,232941,43202,1.3857691773529004,0.8812241298843141,5.391903152631823,3.8213959103258808,5.389408171764379,3.8271406408348727,1.2501041618443591,0.4921170294448181,10,10,50
