Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,2942,0,0,0,0,0,3003,0,9971,0,9971,32730,0,9971,0 
1,1796,162,3451,0,0,5519,1796,757,1774,1514,5285,2158,2648,5225,4452 
2,1737,257,3754,0,0,5833,1738,1086,1933,1506,5708,2282,2820,5687,4911 
3,1517,322,3706,0,0,6480,1518,1294,2015,1367,5956,2245,2831,5721,5040 
4,1329,386,3941,0,0,6707,1330,1435,2029,1302,6393,2192,3065,5970,5494 
5,1093,404,3753,0,0,7124,1093,1497,1841,1200,6323,1912,2916,5594,5553 
6,920,381,3472,0,0,7267,921,1364,1480,1099,5998,1530,2769,4952,5451 
7,795,385,2904,0,0,7251,796,1277,1210,952,5363,1228,2276,4114,4968 
8,752,348,2460,0,0,6785,752,1134,849,808,4796,863,2018,3309,4580 
9,673,301,2100,0,0,5971,673,1043,1124,721,4675,1136,1717,3224,4123 
10,666,294,1792,0,0,5390,667,956,1612,651,4958,1630,1545,3404,3805 
11,945,263,1442,0,0,5275,945,830,3860,513,6920,3991,1136,5302,3519 
12,2026,296,1551,0,0,6228,2028,903,8086,495,11914,8682,1185,9637,4349 
13,4731,367,2414,0,0,9241,4734,1090,13340,434,19025,15559,1613,15754,6624 
14,7570,755,5544,0,0,13216,7575,2133,18527,693,28198,25512,3745,24071,11779 
15,7576,1388,12064,0,0,16283,7578,4361,24115,1756,41157,45517,8992,36179,21004 
16,8047,1788,20745,0,0,19337,8049,5332,30508,4213,57912,62028,16619,51253,33125 
17,11869,1963,31655,0,0,22038,11871,5889,36540,6560,76666,48707,25584,68195,48552 
18,12801,2812,40069,0,0,27528,12806,8014,47577,6207,99102,67482,31693,87646,62705 
19,13743,3252,51206,0,0,33767,13748,9291,62210,6489,128649,94455,39633,113416,81407 
20,14988,3906,67050,0,0,39907,14989,10968,81912,7641,168134,134399,49856,148960,107276 
21,16000,4593,88158,0,0,46752,16002,12245,108586,10901,220727,195529,62924,196743,142115 
22,16967,5026,118116,0,0,53017,16969,13380,145249,16324,292339,288767,80586,263359,190478 
