Iteration,Update time,Reading time,Waiting time,Total time,SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Add time (ms),SG Del time (ms),SG Read time (ms)
0,46,5,0,51,4129,9490,9490,252747,4160,15189,11108352,618856,22845,76,10559
1,77,35,7,119,4317,9983,9983,263423,4348,15235,11894784,639104,5770,611,4154
2,52,28,6,86,4439,10516,10516,275020,4470,15199,11894784,638199,5711,291,4215
3,52,13,4,69,4441,11109,11109,285747,4472,14851,11894784,622343,4965,272,3799
4,56,35,4,95,4388,11707,11707,296063,4419,14253,11894784,603496,4534,287,3519
5,57,26,10,93,4475,12507,12507,313349,4506,14330,11894784,604449,4519,212,3234
6,58,28,7,93,4665,13455,13455,335742,4696,14830,11894784,634556,5467,209,3927
7,47,27,5,79,4939,14462,14462,361072,4970,15822,11894784,695864,5906,177,4185
8,75,43,5,123,5189,15603,15603,390335,5220,16865,11894784,786220,5579,192,4076
9,63,35,7,105,5537,16754,16754,420974,5568,18282,12222464,912502,6187,168,4469
10,63,27,6,96,5749,17923,17923,450197,5780,19265,12681216,1046073,6011,165,4543
11,87,41,5,133,5970,19140,19140,481231,6001,20112,12681216,1180271,6228,202,4745
12,90,47,8,145,6165,20356,20356,511268,6196,20900,12681216,1313397,5501,165,4307
13,69,40,1,110,6389,21580,21580,542219,6420,21804,12681216,1450477,5645,160,4532
14,66,39,4,109,6538,22804,22804,571869,6569,22361,12681216,1593690,5107,241,4435
15,84,43,9,136,6714,24007,24007,601382,6745,23020,13467648,1731190,5189,154,4503
16,75,57,5,137,6931,25222,25222,631717,6962,23799,13467648,1861293,5725,189,4861
17,88,49,5,142,7067,26412,26412,659555,7098,24317,13467648,1987858,5056,143,4614
18,91,59,7,157,7208,27584,27584,688405,7239,24805,13467648,2118580,4868,154,4509
19,94,55,4,153,7404,28780,28780,716928,7435,25549,13729792,2239652,4999,126,4617
20,110,55,7,172,7534,29943,29943,745364,7565,26023,14057472,2359463,5077,169,4801
21,89,61,3,153,7665,31102,31102,772432,7696,26463,14254080,2474727,5111,155,4828
22,105,56,5,166,7804,32215,32215,799326,7835,26956,14319616,2587710,5013,165,4743
23,106,66,7,179,7959,33338,33338,826014,7990,27490,14385152,2693448,4623,167,4653
24,100,69,9,178,8063,34437,34437,852478,8094,27847,14516224,2795641,4477,125,4587
25,106,58,7,171,8136,35488,35488,876676,8167,28118,14581760,2891754,4621,126,4820
