,SchemEX:|[v]|,|V_g|,SchemEX:|V_sg|,SchemEX:|E_sg|,AttrColl:|[v]|,AttrColl:|V_sg|,AttrColl:|E_sg|,TypeColl:|[v]|,TypeColl:|V_sg|,TypeColl:|E_sg|,|E_g|
min,106142,2106549,108937,429373,18831,18832,187190,3757,3757,0,6145732
max,165316,3546004,169201,605461,22503,22504,209045,6522,6522,0,11566501
mean,111966.20408163265,2799759.673469388,115715.57142857143,446801.79591836734,19656.408163265307,19657.408163265307,193024.81632653062,5772.959183673469,5772.959183673469,0.0,8107346.244897959
std,7951.665973187611,517052.7931915088,8011.578126894435,24499.81940407894,1009.7080212939313,1009.7080212939313,6356.384610745946,528.365757122204,528.365757122204,0.0,1855364.2472788142
