,SE-ADD,SE-DEL,SE-MOD,SE-unchanged
schemex:mean,5731.938775510204,3469.5714285714284,31754.020408163266,2577147.2448979593
schemex:std,21097.97291349748,13814.885626562385,82789.95329861634,627441.0387331072
attribute:mean,798.6938775510204,460.48979591836735,11698.387755102041,2597191.551020408
attribute:std,2945.844914197521,979.5691681050607,42599.59228620247,622100.2505199979
type:mean,339.7959183673469,180.6326530612245,20815.326530612245,2588034.4285714286
type:std,1038.8621977030093,504.53009052473567,51322.07461763235,622171.6067330553
